cd_cnpj;de_ramo_atividade;cd_ramo_atividade;nu_ordem;cd_divisao
90114000170;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES;4530704;00;45
90114000170;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;4687703;01;46
107413000170;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4744005;00;47
113474000220;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4744005;00;47
114451000150;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA OUTROS USOS NAO ESPECIFICADOS ANTERIORMENTE;2229399;00;22
114451000150;FABRICACAO DE BICICLETAS E TRICICLOS NAOMOTORIZADOS, PECAS E ACESSORIOS;2829199;01;28
114451000150;FABRICACAO DE BIJUTERIAS E ARTEFATOS SEMELHANTES;3092000;02;30
114451000150;FABRICACAO DE GUARDACHUVAS E SIMILARES;3212400;03;32
114451000150;FABRICACAO DE OUTRAS MAQUINAS E EQUIPAMENTOS DE USO GERAL NAO ESPECIFICADOS ANTERIORMENTE, PECAS E ACESSORIOS;3299001;04;32
123544000140;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;1411801;00;14
123544000140;CONFECCAO DE ROUPAS INTIMAS;1411802;01;14
123544000140;FACCAO DE ROUPAS INTIMAS;1412601;02;14
125783000130;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611203;00;56
126070000190;COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS, EXCETO PROFISSIONAIS E DE SEGURANCA;4642701;00;46
130220000130;EDUCACAO INFANTIL  PREESCOLA;8512100;00;85
134935000160;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;4755503;00;47
134935000160;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;4759899;01;47
135349000130;FABRICACAO DE CABINES, CARROCERIAS E REBOQUES PARA CAMINHOES;1622602;00;16
135349000130;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS;1622699;01;16
135349000130;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;2930101;02;29
135349000130;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;3101200;03;31
135349000130;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;4330402;04;43
139297000170;FABRICACAO DE ARTEFATOS DE CERAMICA E BARRO COZIDO PARA USO NA CONSTRUCAO, EXCETO AZULEJOS E PISOS;2342702;00;23
141758000140;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;1091102;00;10
141758000140;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;4712100;01;47
144293000180;COMERCIO VAREJISTA DE CALCADOS;4782201;00;47
148795000180;ALUGUEL DE MAQUINAS E EQUIPAMENTOS AGRICOLAS SEM OPERADOR;4930202;00;49
148795000180;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;7711000;01;77
148795000180;LOCACAO DE AUTOMOVEIS SEM CONDUTOR;7731400;02;77
148795000180;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;7739099;03;77
149772000270;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
153252000150;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
156720000140;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;4520001;00;45
156720000140;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;4520002;01;45
156720000140;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;4520003;02;45
156720000140;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;4520004;03;45
163289000160;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;4520001;00;45
163289000160;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;4520002;01;45
163289000160;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;4520003;02;45
163289000160;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;4520004;03;45
188091000130;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611203;00;56
188139000100;TABACARIA;4729601;00;47
191367000130;CONDOMINIOS PREDIAIS;8112500;00;81
192804000130;PEIXARIA;4722902;00;47
196965000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
196965000100;COMERCIO VAREJISTA DE CALCADOS;4782201;01;47
202087000260;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4520001;00;45
202087000260;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;4520002;01;45
202087000260;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;4520003;02;45
202087000260;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;4520004;03;45
202087000260;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;4530703;04;45
207069000190;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;4784900;00;47
219310000100;COMERCIO VAREJISTA DE BEBIDAS;4723700;00;47
235377000120;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;4711301;00;47
239588000130;COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS, PECAS E ACESSORIOS;4763603;00;47
240897000120;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS;4633801;00;46
245285000120;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;6204000;00;62
247951000160;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM;4616800;00;46
256003000190;ATIVIDADES PAISAGISTICAS;8130300;00;81
256584000160;COMERCIO ATACADISTA DE CAFE TORRADO, MOIDO E SOLUVEL;4637101;00;46
260778000130;SERVICOS ADVOCATICIOS;6911701;00;69
261709000140;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;4330499;00;43
261709000140;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;9529199;01;95
263968000100;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;4617600;00;46
265223000180;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4618499;00;46
267256000160;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
272581000110;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS;4633801;00;46
276923000170;COMERCIO ATACADISTA DE BEBIDAS NAO ESPECIFICADAS ANTERIORMENTE;4635499;00;46
280894000110;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
281428000150;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
284458000110;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;4755502;00;47
296771000330;ESTACIONAMENTO DE VEICULOS;5223100;00;52
306597002060;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES;4731800;00;47
306597002060;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;4784900;01;47
308865000110;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
310004000680;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
310004000680;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;8299799;01;82
314029000300;AGENTE DE PROPRIEDADE INDUSTRIAL;6911703;00;69
323078000490;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;00;49
324601000400;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS NOVOS;4511101;00;45
324601000400;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;4511102;01;45
324601000400;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4520001;02;45
324601000400;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530701;03;45
324601000400;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;4530703;04;45
326297000180;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;4711301;00;47
329662000100;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
329662000100;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
329662000100;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
332145000190;COMERCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE;4635402;00;46
335418000150;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;4930201;00;49
341906000170;ARTES CENICAS, ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIFICADAS ANTERIORMENTE;9001999;00;90
354496000100;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;6399200;00;63
354496000100;ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE;7410299;01;74
354496000100;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;7490105;02;74
354496000100;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;7490199;03;74
354496000100;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;8299799;04;82
356513000130;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO;4757100;00;47
359256000190;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;2222600;00;22
359256000190;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;4789099;01;47
359256000190;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;7020400;02;70
359256000190;FABRICACAO DE EMBALAGENS DE MATERIAL PLASTICO;7120100;03;71
359256000190;TESTES E ANALISES TECNICAS;7739099;04;77
360305034270;CAIXAS ECONOMICAS;6423900;00;64
360305151900;CAIXAS ECONOMICAS;6423900;00;64
369525000280;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
371235000190;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
375078000190;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530703;00;45
382950000390;COMERCIO VAREJISTA DE TECIDOS;4755501;00;47
394452049960;DEFESA;8422100;00;84
394460001890;ADMINISTRACAO PUBLICA EM GERAL;8411600;00;84
396895005780;SERVICOS ADVOCATICIOS;6911701;00;69
398129000280;COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;4753900;00;47
398129000280;COMERCIO VAREJISTA DE MOVEIS;4754701;01;47
398129000280;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;4754702;02;47
401668000140;CONSTRUCAO DE EDIFICIOS;4120400;00;41
401668000140;CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS;4299501;01;42
408433000180;SERVICOS DE TRADUCAO, INTERPRETACAO E SIMILARES;7490101;00;74
421069000350;AGENCIAS DE VIAGENS;7911200;00;79
421069000350;OPERADORES TURISTICOS;7912100;01;79
421069000350;SERVICOS DE RESERVAS E OUTROS SERVICOS DE TURISMO NAO ESPECIFICADOS ANTERIORMENTE;7990200;02;79
425926000390;LOCACAO DE AUTOMOVEIS SEM CONDUTOR;7711000;00;77
425944000100;COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS;4645101;00;46
428200000140;COMERCIO VAREJISTA DE CARNES  ACOUGUES;4712100;00;47
428200000140;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4722901;01;47
428200000140;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;5620104;02;56
428307001160;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;00;49
428307001160;TRANSPORTE RODOVIARIO DE PRODUTOS PERIGOSOS;4930203;01;49
429070000160;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;6399200;00;63
429070000160;ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE;7410299;01;74
429070000160;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;7490105;02;74
429070000160;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;7490199;03;74
429070000160;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;8299799;04;82
431578000100;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;4623109;00;46
431654000170;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;4744002;00;47
431654000170;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;4744099;01;47
434960000160;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;4784900;00;47
440039000120;CONDOMINIOS PREDIAIS;8112500;00;81
440999000190;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;4729699;00;47
440999000190;COMERCIO VAREJISTA DE JORNAIS E REVISTAS;4761001;01;47
440999000190;COMERCIO VAREJISTA DE LIVROS;4761002;02;47
440999000190;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;4772500;03;47
444232001020;COMERCIO ATACADISTA DE ENERGIA ELETRICA;3511501;00;35
444232001020;DISTRIBUICAO DE ENERGIA ELETRICA;3512300;01;35
444232001020;GERACAO DE ENERGIA ELETRICA;3513100;02;35
444232001020;TRANSMISSAO DE ENERGIA ELETRICA;3514000;03;35
445343000160;AGENCIAS DE PUBLICIDADE;5911199;00;59
445343000160;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;7020400;01;70
445343000160;ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL, EXCETO IMOBILIARIOS;7311400;02;73
445343000160;ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;7320300;03;73
445343000160;PESQUISAS DE MERCADO E DE OPINIAO PUBLICA;7490104;04;74
445845000190;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
452081000160;COMERCIO VAREJISTA DE BEBIDAS;4723700;00;47
468147000100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;00;47
469630000100;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
470282000190;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;7739099;00;77
471000000250;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;1412602;00;14
471055000180;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;4759899;00;47
482672000180;CONSTRUCAO DE EDIFICIOS;4120400;00;41
482672000180;CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS;4299501;01;42
484851000580;SERVICOS DE ENGENHARIA;7112000;00;71
496157000400;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;4784900;00;47
497178000190;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4743100;00;47
497178000190;COMERCIO VAREJISTA DE VIDROS;4789099;01;47
506450000150;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;4755502;00;47
506472000110;CONDOMINIOS PREDIAIS;8112500;00;81
508016000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
510329000100;COMERCIO VAREJISTA DE BEBIDAS;4723700;00;47
516281000130;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;00;94
516281000130;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;9493600;01;94
516281000130;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;9499500;02;94
519587000140;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;9491000;00;94
524767000110;COMERCIO VAREJISTA DE BEBIDAS;4723700;00;47
525788000150;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA USO PESSOAL E DOMESTICO;2229301;00;22
525788000150;FABRICACAO DE ARTIGOS DE CUTELARIA;2541100;01;25
525788000150;FABRICACAO DE OUTROS PRODUTOS DE METAL NAO ESPECIFICADOS ANTERIORMENTE;2599399;02;25
525788000150;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;03;49
526011000100;FABRICACAO DE ARTEFATOS DE CERAMICA E BARRO COZIDO PARA USO NA CONSTRUCAO, EXCETO AZULEJOS E PISOS;2342702;00;23
531621000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
535698000140;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
564902000150;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;00;47
572069000190;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611201;00;56
572069000190;RESTAURANTES E SIMILARES;5611203;01;56
574505000160;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;6204000;00;62
579575000100;OUTRAS OBRAS DE ENGENHARIA CIVIL NAO ESPECIFICADAS ANTERIORMENTE;4299599;00;42
579575000100;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;4399199;01;43
580853000140;COMERCIO VAREJISTA DE MATERIAL ELETRICO;4742300;00;47
584102000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4753900;00;47
584102000100;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;4781400;01;47
589009000180;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;9521500;00;95
589338000120;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
591913000200;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;4774100;00;47
602357000140;CASAS LOTERICAS;8299706;00;82
605157000140;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;00;47
607100000180;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MAQUINAS, EQUIPAMENTOS, EMBARCACOES E AERONAVES;4614100;00;46
619523000200;MOAGEM E FABRICACAO DE PRODUTOS DE ORIGEM VEGETAL NAO ESPECIFICADOS ANTERIORMENTE;1069400;00;10
622164000150;COMERCIO ATACADISTA DE COSMETICOS E PRODUTOS DE PERFUMARIA;4646001;00;46
622164000150;COMERCIO ATACADISTA DE FERRAGENS E FERRAMENTAS;4649499;01;46
622164000150;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINANCIA DE ALIMENTOS OU DE INSUMOS AGROPECUARIOS;4672900;02;46
622164000150;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;4693100;03;46
629363000190;ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO;6630400;00;66
629363000190;SERVICOS DE LEVANTAMENTO DE FUNDOS SOB CONTRATO;8299705;01;82
631980000120;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;4752100;00;47
632834000110;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;5611202;00;56
636817000150;TREINAMENTO EM INFORMATICA;8599603;00;85
640172000120;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;6204000;00;62
